repository,url,owner,stars,last_updated
bernardev254/aavesubgraph,https://github.com/bernardev254/aavesubgraph,bernardev254,0,2024-09-21 08:44:22+00:00
pinax-network/subgraph-alien-worlds,https://github.com/pinax-network/subgraph-alien-worlds,pinax-network,0,2024-09-16 15:18:52+00:00
jac0x/erc20-balance-snapshot,https://github.com/jac0x/erc20-balance-snapshot,jac0x,0,2024-09-14 04:15:59+00:00
minhnhathoang/multi-subgraph,https://github.com/minhnhathoang/multi-subgraph,minhnhathoang,0,2024-09-13 07:08:55+00:00
DODOEX/dodoex_v2_subgraph,https://github.com/DODOEX/dodoex_v2_subgraph,dodoex,39,2024-09-13 03:27:07+00:00
BaseAfrica/farade,https://github.com/BaseAfrica/farade,baseafrica,0,2024-09-12 23:21:21+00:00
Pkwolffe/study-fundraiser-project,https://github.com/Pkwolffe/study-fundraiser-project,pkwolffe,0,2024-09-11 17:51:20+00:00
ItzNinjaCat/Decentralised-ticketing-system,https://github.com/ItzNinjaCat/Decentralised-ticketing-system,itzninjacat,0,2024-09-11 09:06:31+00:00
knownorigin/known-origin-subgraph,https://github.com/knownorigin/known-origin-subgraph,knownorigin,5,2024-09-11 04:01:48+00:00
qiaopengjun5162/NFTMarketHub,https://github.com/qiaopengjun5162/NFTMarketHub,qiaopengjun5162,0,2024-09-07 04:46:31+00:00
GoSTEAN/voting_DApp_graph,https://github.com/GoSTEAN/voting_DApp_graph,gostean,0,2024-09-06 14:06:53+00:00
keybig/v3sg,https://github.com/keybig/v3sg,keybig,0,2024-09-04 18:34:29+00:00
MobulaFi/univ2-subgraph-celo,https://github.com/MobulaFi/univ2-subgraph-celo,mobulafi,0,2024-09-02 09:28:23+00:00
MobulaFi/univ2-subgraph-polygonzkevm,https://github.com/MobulaFi/univ2-subgraph-polygonzkevm,mobulafi,1,2024-09-02 06:16:40+00:00
BoddepallyVenkatesh06/Insurance-Transfer-DApp,https://github.com/BoddepallyVenkatesh06/Insurance-Transfer-DApp,boddepallyvenkatesh06,1,2024-08-29 07:15:15+00:00
blockful-io/trustful-gap-subgraph,https://github.com/blockful-io/trustful-gap-subgraph,blockful-io,0,2024-08-26 21:24:05+00:00
incrypto32/subgraph-ds-example,https://github.com/incrypto32/subgraph-ds-example,incrypto32,0,2024-08-26 15:10:45+00:00
ChaosLabsInc/subgraph-benqi,https://github.com/ChaosLabsInc/subgraph-benqi,chaoslabsinc,0,2024-08-20 07:05:37+00:00
papercliplabs/compound-info-subgraph,https://github.com/papercliplabs/compound-info-subgraph,papercliplabs,0,2024-08-15 15:34:58+00:00
shreyaspapi/superhack-project-name,https://github.com/shreyaspapi/superhack-project-name,shreyaspapi,0,2024-08-11 16:08:54+00:00
aroralanuk/ratioed-subgraph,https://github.com/aroralanuk/ratioed-subgraph,aroralanuk,0,2024-08-11 14:11:50+00:00
Ajay-Sankar/hasura,https://github.com/Ajay-Sankar/hasura,ajay-sankar,0,2024-08-09 14:16:31+00:00
OpenZeppelin/defender-subgraphs,https://github.com/OpenZeppelin/defender-subgraphs,openzeppelin,1,2024-08-02 14:49:43+00:00
itsjerryokolo/autonolas-subgraph,https://github.com/itsjerryokolo/autonolas-subgraph,itsjerryokolo,0,2024-07-30 12:36:50+00:00
enviodev/azuro-envio-indexer-boilerplate,https://github.com/enviodev/azuro-envio-indexer-boilerplate,enviodev,2,2024-07-30 08:32:33+00:00
bobanetwork/boba_legacy,https://github.com/bobanetwork/boba_legacy,bobanetwork,61,2024-07-29 23:08:20+00:00
GETProtocol/subgraph,https://github.com/GETProtocol/subgraph,getprotocol,15,2024-07-29 12:52:21+00:00
brenkib/the-graph-playground,https://github.com/brenkib/the-graph-playground,brenkib,0,2024-07-26 22:23:20+00:00
topsports-exchange/topsports-subgraph,https://github.com/topsports-exchange/topsports-subgraph,topsports-exchange,0,2024-07-24 12:47:57+00:00
kandre02/ScrollCityCup,https://github.com/kandre02/ScrollCityCup,kandre02,0,2024-07-18 23:05:23+00:00
rhinestonewtf/subgraphs,https://github.com/rhinestonewtf/subgraphs,rhinestonewtf,4,2024-07-17 21:06:04+00:00
djaciel/subgraph-mevm,https://github.com/djaciel/subgraph-mevm,djaciel,0,2024-07-17 03:15:16+00:00
acgodson/zeroAI,https://github.com/acgodson/zeroAI,acgodson,4,2024-07-16 05:54:10+00:00
AcertChain/graph-node,https://github.com/AcertChain/graph-node,acertchain,0,2024-07-11 03:03:02+00:00
nevermined-io/subgraph,https://github.com/nevermined-io/subgraph,nevermined-io,5,2024-07-08 14:26:54+00:00
Airstack-xyz/Subgraphs,https://github.com/Airstack-xyz/Subgraphs,airstack-xyz,11,2024-07-02 20:25:18+00:00
revert-finance/compoundor-subgraph,https://github.com/revert-finance/compoundor-subgraph,revert-finance,0,2024-07-02 16:38:29+00:00
VeryLongSwap/fixed-staking-subgraph,https://github.com/VeryLongSwap/fixed-staking-subgraph,verylongswap,0,2024-07-02 06:13:15+00:00
zipingw/The-Graph-Bounty,https://github.com/zipingw/The-Graph-Bounty,zipingw,0,2024-06-30 13:04:10+00:00
pancakeswap/pancake-subgraph,https://github.com/pancakeswap/pancake-subgraph,pancakeswap,338,2024-06-27 03:17:58+00:00
PaulWeb30/nft_marketplace,https://github.com/PaulWeb30/nft_marketplace,paulweb30,0,2024-06-23 21:21:27+00:00
Plantoidz/Plantoid-webUI,https://github.com/Plantoidz/Plantoid-webUI,plantoidz,1,2024-06-13 12:36:38+00:00
ipatka/plantoid-ui,https://github.com/ipatka/plantoid-ui,ipatka,0,2024-06-06 00:02:14+00:00
PooDoge/chewy-subgraphs,https://github.com/PooDoge/chewy-subgraphs,poodoge,0,2024-06-02 22:45:30+00:00
Retiazky/patty-pat,https://github.com/Retiazky/patty-pat,retiazky,1,2024-06-02 10:41:43+00:00
v3xlabs/rescue-name-substream,https://github.com/v3xlabs/rescue-name-substream,v3xlabs,1,2024-06-02 08:31:47+00:00
ByteAtATime/rapidswap,https://github.com/ByteAtATime/rapidswap,byteatatime,0,2024-06-01 21:02:36+00:00
wighawag/eip721-subgraph,https://github.com/wighawag/eip721-subgraph,wighawag,81,2024-05-30 09:22:31+00:00
truth4you/cashx-relayer,https://github.com/truth4you/cashx-relayer,truth4you,0,2024-05-17 10:24:20+00:00
JulioMCruz/SunriseUpgradeProgram,https://github.com/JulioMCruz/SunriseUpgradeProgram,juliomcruz,0,2024-05-14 22:33:49+00:00
ammarsjw/cfi,https://github.com/ammarsjw/cfi,ammarsjw,0,2024-05-14 08:30:44+00:00
OkoliEvans/kulipa,https://github.com/OkoliEvans/kulipa,okolievans,1,2024-05-10 09:13:46+00:00
FuelLabs/fuel-subgraph,https://github.com/FuelLabs/fuel-subgraph,fuellabs,46,2024-05-06 15:50:08+00:00
Gnosis-Auction/auction-graph,https://github.com/Gnosis-Auction/auction-graph,gnosis-auction,1,2024-04-29 13:40:09+00:00
pawthereum/subgraphs,https://github.com/pawthereum/subgraphs,pawthereum,0,2024-04-28 22:48:50+00:00
heroesofnft/subgraphs,https://github.com/heroesofnft/subgraphs,heroesofnft,0,2024-04-28 11:54:52+00:00
shiyasmohd/erc20-sepolia,https://github.com/shiyasmohd/erc20-sepolia,shiyasmohd,0,2024-04-19 06:35:14+00:00
dwi/approval-revoke-subgraph,https://github.com/dwi/approval-revoke-subgraph,dwi,1,2024-04-16 07:13:03+00:00
liquity/dev,https://github.com/liquity/dev,liquity,343,2024-04-15 06:33:59+00:00
MukulKolpe/ETHMumbai,https://github.com/MukulKolpe/ETHMumbai,mukulkolpe,1,2024-04-12 17:40:11+00:00
sakkurthi-sashank/geo-blocks,https://github.com/sakkurthi-sashank/geo-blocks,sakkurthi-sashank,1,2024-04-10 12:29:03+00:00
clober-dex/coupon-subgraph,https://github.com/clober-dex/coupon-subgraph,clober-dex,0,2024-04-03 02:31:52+00:00
DennohKim/on-chain-events,https://github.com/DennohKim/on-chain-events,dennohkim,0,2024-04-01 18:31:16+00:00
marcusats/kanan-subgraph,https://github.com/marcusats/kanan-subgraph,marcusats,0,2024-04-01 13:52:00+00:00
rose2221/ETHMumbai,https://github.com/rose2221/ETHMumbai,rose2221,0,2024-03-31 03:28:07+00:00
kernel-community/honour,https://github.com/kernel-community/honour,kernel-community,14,2024-03-30 14:17:00+00:00
1Hive/quests,https://github.com/1Hive/quests,1hive,11,2024-03-28 18:52:11+00:00
webtresclub/huffplug,https://github.com/webtresclub/huffplug,webtresclub,38,2024-03-27 16:21:52+00:00
argentlabs/argent-trustlists,https://github.com/argentlabs/argent-trustlists,argentlabs,6,2024-03-26 12:17:54+00:00
ScopeLift/l2-flexible-voting-governor-subgraph,https://github.com/ScopeLift/l2-flexible-voting-governor-subgraph,scopelift,1,2024-03-25 13:55:52+00:00
demora33/voting-manager-tool,https://github.com/demora33/voting-manager-tool,demora33,0,2024-03-20 17:37:09+00:00
carrot-kpi/monorepo,https://github.com/carrot-kpi/monorepo,carrot-kpi,5,2024-03-19 16:32:26+00:00
schmidsi/pointsicle,https://github.com/schmidsi/pointsicle,schmidsi,1,2024-03-17 10:56:32+00:00
showtime-xyz/base-nfts-subgraph,https://github.com/showtime-xyz/base-nfts-subgraph,showtime-xyz,0,2024-03-16 16:14:25+00:00
nijoe1/AIMarket,https://github.com/nijoe1/AIMarket,nijoe1,0,2024-03-16 13:41:29+00:00
top-comengineer/RaffleSubgraph,https://github.com/top-comengineer/RaffleSubgraph,top-comengineer,0,2024-03-15 13:02:33+00:00
Mumtaz503/Employment-marketplace-front-end,https://github.com/Mumtaz503/Employment-marketplace-front-end,mumtaz503,0,2024-03-15 11:37:43+00:00
mangas/uniswap-v3-dataset-sg,https://github.com/mangas/uniswap-v3-dataset-sg,mangas,0,2024-03-15 05:56:04+00:00
K-Honsu/ETH-Nigeria-Zero-to-dapp-hackathon,https://github.com/K-Honsu/ETH-Nigeria-Zero-to-dapp-hackathon,k-honsu,0,2024-03-06 23:51:24+00:00
zaswap/zaswap-subgraph,https://github.com/zaswap/zaswap-subgraph,zaswap,0,2024-03-01 03:22:36+00:00
JohnCorrigan1/sps-genesis-test,https://github.com/JohnCorrigan1/sps-genesis-test,johncorrigan1,0,2024-02-27 02:51:37+00:00
muon-protocol/muon-subgraphs,https://github.com/muon-protocol/muon-subgraphs,muon-protocol,0,2024-02-23 19:47:53+00:00
Dhruv-2003/AvalancheDCA,https://github.com/Dhruv-2003/AvalancheDCA,dhruv-2003,0,2024-02-19 23:07:14+00:00
ourzora/json-extension-registry,https://github.com/ourzora/json-extension-registry,ourzora,10,2024-02-18 03:12:33+00:00
dopedao/dope-monorepo,https://github.com/dopedao/dope-monorepo,dopedao,24,2024-02-13 08:22:57+00:00
rtfei/Subgraphs,https://github.com/rtfei/Subgraphs,rtfei,2,2024-02-11 21:38:40+00:00
Range-Protocol/subgraph,https://github.com/Range-Protocol/subgraph,range-protocol,1,2024-02-08 09:47:12+00:00
cryptexfinance/ctx-delegation-stats,https://github.com/cryptexfinance/ctx-delegation-stats,cryptexfinance,0,2024-02-05 18:24:09+00:00
JohnCorrigan1/kelpDao-SPS,https://github.com/JohnCorrigan1/kelpDao-SPS,johncorrigan1,0,2024-01-29 23:22:30+00:00
EVM-BUILDER/Dex-Smart-Contract-Graphnode,https://github.com/EVM-BUILDER/Dex-Smart-Contract-Graphnode,evm-builder,1,2024-01-22 07:30:55+00:00
muktanshumishra24/base-nft-subgraph,https://github.com/muktanshumishra24/base-nft-subgraph,muktanshumishra24,0,2024-01-21 19:29:26+00:00
0xukhezo/Spectre-Protocol,https://github.com/0xukhezo/Spectre-Protocol,0xukhezo,0,2024-01-20 09:16:11+00:00
VishalPachpor/Leaf-Track,https://github.com/VishalPachpor/Leaf-Track,vishalpachpor,0,2024-01-19 15:56:26+00:00
KirienzoEth/lr-ptb-stats,https://github.com/KirienzoEth/lr-ptb-stats,kirienzoeth,0,2024-01-14 04:22:42+00:00
muktanshumishra24/cryptopunks-subgraph-demo,https://github.com/muktanshumishra24/cryptopunks-subgraph-demo,muktanshumishra24,0,2024-01-09 09:19:19+00:00
beamer-bridge/beamer,https://github.com/beamer-bridge/beamer,beamer-bridge,45,2024-01-05 17:50:36+00:00
Oba-One/web3-starter-kit,https://github.com/Oba-One/web3-starter-kit,oba-one,4,2024-01-04 04:44:36+00:00
NeokiDeMa/marketplace-subgraph,https://github.com/NeokiDeMa/marketplace-subgraph,neokidema,0,2024-01-03 12:36:47+00:00
horse-link/horse.link.subgraph.sepolia,https://github.com/horse-link/horse.link.subgraph.sepolia,horse-link,0,2024-01-01 22:54:22+00:00
deniseulenburg/example-subgraph,https://github.com/deniseulenburg/example-subgraph,deniseulenburg,1,2023-12-21 17:19:20+00:00
shotaronowhere/sequencer-analytics,https://github.com/shotaronowhere/sequencer-analytics,shotaronowhere,0,2023-12-20 19:18:36+00:00
gaspare100/scrub-graphs,https://github.com/gaspare100/scrub-graphs,gaspare100,0,2023-12-18 21:25:13+00:00
market-ticker/CMT,https://github.com/market-ticker/CMT,market-ticker,0,2023-12-17 20:52:38+00:00
BlocSoc-iitr/FLockChain,https://github.com/BlocSoc-iitr/FLockChain,blocsoc-iitr,13,2023-12-16 21:05:21+00:00
OpenQDev/OpenQ-Dojo,https://github.com/OpenQDev/OpenQ-Dojo,openqdev,0,2023-12-15 20:18:27+00:00
near-everything/subgraph,https://github.com/near-everything/subgraph,near-everything,1,2023-12-15 17:24:04+00:00
Cborgg/Sub-Graph,https://github.com/Cborgg/Sub-Graph,cborgg,0,2023-12-13 09:41:53+00:00
shpurohit/auditopia,https://github.com/shpurohit/auditopia,shpurohit,0,2023-12-10 13:12:40+00:00
peer-3/waoprotocol,https://github.com/peer-3/waoprotocol,peer-3,1,2023-12-10 03:11:01+00:00
pectoraux/pancake-subgraph2,https://github.com/pectoraux/pancake-subgraph2,pectoraux,0,2023-12-08 19:39:06+00:00
hivakarami/Tether-Subgraph,https://github.com/hivakarami/Tether-Subgraph,hivakarami,1,2023-12-01 20:34:38+00:00
AnanthVivekanand/pendle-wsteth-the-graph,https://github.com/AnanthVivekanand/pendle-wsteth-the-graph,ananthvivekanand,0,2023-11-29 01:31:43+00:00
dappnode/toolkit,https://github.com/dappnode/toolkit,dappnode,1,2023-11-22 09:56:04+00:00
SauravKanchan/x3,https://github.com/SauravKanchan/x3,sauravkanchan,0,2023-11-19 06:41:44+00:00
prmali/portifi-ethsf,https://github.com/prmali/portifi-ethsf,prmali,2,2023-11-11 05:54:56+00:00
Vikash-8090-Yadav/Future.WebNet,https://github.com/Vikash-8090-Yadav/Future.WebNet,vikash-8090-yadav,110,2023-11-08 14:13:34+00:00
AmaanSayyad/Biconomy-Token-Subgraph,https://github.com/AmaanSayyad/Biconomy-Token-Subgraph,amaansayyad,0,2023-11-01 12:01:06+00:00
oaswap/oaswap-subgraph,https://github.com/oaswap/oaswap-subgraph,oaswap,0,2023-11-01 11:36:22+00:00
tellor-io/tellor-autopay-optimism-main-graph,https://github.com/tellor-io/tellor-autopay-optimism-main-graph,tellor-io,0,2023-10-29 17:33:50+00:00
jmulq/DAOmocracy,https://github.com/jmulq/DAOmocracy,jmulq,0,2023-10-26 14:20:50+00:00
BLOXAUCE/HACK-Voteem,https://github.com/BLOXAUCE/HACK-Voteem,bloxauce,0,2023-10-24 12:42:00+00:00
saRvaGnyA/auditopia-dev,https://github.com/saRvaGnyA/auditopia-dev,sarvagnya,2,2023-10-22 15:26:38+00:00
michaelliao/1024pixels,https://github.com/michaelliao/1024pixels,michaelliao,6,2023-10-21 13:55:10+00:00
Gordiancyber/TheGraph,https://github.com/Gordiancyber/TheGraph,gordiancyber,0,2023-10-12 18:03:41+00:00
Aaroh1/NFT-Marketplace-,https://github.com/Aaroh1/NFT-Marketplace-,aaroh1,0,2023-09-30 15:12:02+00:00
mtfuji25/hector-fantom-subgraph,https://github.com/mtfuji25/hector-fantom-subgraph,mtfuji25,1,2023-09-26 11:54:17+00:00
Srikarmk/Polygon-Mumbai-Subgraph,https://github.com/Srikarmk/Polygon-Mumbai-Subgraph,srikarmk,0,2023-09-25 17:41:14+00:00
sukanyaparashar/graph-neon-test,https://github.com/sukanyaparashar/graph-neon-test,sukanyaparashar,0,2023-09-25 14:46:51+00:00
eugenioclrc/addrenfty,https://github.com/eugenioclrc/addrenfty,eugenioclrc,0,2023-09-24 05:20:45+00:00
posheadig/uni2-graph,https://github.com/posheadig/uni2-graph,posheadig,0,2023-09-23 11:23:56+00:00
MusicFeast/graph,https://github.com/MusicFeast/graph,musicfeast,0,2023-09-20 17:59:43+00:00
gabrielmellace1/NFTGameCredit,https://github.com/gabrielmellace1/NFTGameCredit,gabrielmellace1,0,2023-09-18 14:24:59+00:00
SammyBloom/MyCryptoPunkSubGraph_liveatgraphprotocol,https://github.com/SammyBloom/MyCryptoPunkSubGraph_liveatgraphprotocol,sammybloom,0,2023-09-17 22:59:47+00:00
MkDev11/NFTicket,https://github.com/MkDev11/NFTicket,mkdev11,0,2023-09-17 01:36:17+00:00
Prasoon1308/subgraph_demo,https://github.com/Prasoon1308/subgraph_demo,prasoon1308,0,2023-09-12 04:48:25+00:00
pnoken/nsawa-graph,https://github.com/pnoken/nsawa-graph,pnoken,0,2023-09-09 08:06:47+00:00
schmidsi/ethaccra-subgraph-se2,https://github.com/schmidsi/ethaccra-subgraph-se2,schmidsi,1,2023-09-08 18:04:47+00:00
chidubesteve/nft-marketpace-subgraph,https://github.com/chidubesteve/nft-marketpace-subgraph,chidubesteve,0,2023-09-01 10:39:57+00:00
Alkimiya/vault-subgraph,https://github.com/Alkimiya/vault-subgraph,alkimiya,0,2023-08-30 21:56:00+00:00
xthet/sg-manger-project-v4,https://github.com/xthet/sg-manger-project-v4,xthet,0,2023-08-30 12:18:13+00:00
beaaamapp/beaaam-monorepo,https://github.com/beaaamapp/beaaam-monorepo,beaaamapp,0,2023-08-27 14:23:42+00:00
otterspace-xyz/badges-subgraph,https://github.com/otterspace-xyz/badges-subgraph,otterspace-xyz,2,2023-08-26 12:52:38+00:00
danimbrogno/union-dao,https://github.com/danimbrogno/union-dao,danimbrogno,2,2023-08-24 15:57:31+00:00
UmamiDAO/vaults-subgraph,https://github.com/UmamiDAO/vaults-subgraph,umamidao,0,2023-08-18 23:52:12+00:00
face-protocol/contracts,https://github.com/face-protocol/contracts,face-protocol,0,2023-08-13 15:40:43+00:00
helloiampratyush/nftMarketPlace-graph,https://github.com/helloiampratyush/nftMarketPlace-graph,helloiampratyush,1,2023-08-09 17:50:12+00:00
level-fi/subgraphs,https://github.com/level-fi/subgraphs,level-fi,1,2023-08-09 07:38:50+00:00
omarhibshi/graph-nft-markeplace-fcc,https://github.com/omarhibshi/graph-nft-markeplace-fcc,omarhibshi,1,2023-08-07 10:11:08+00:00
rite-of-moloch/rom-subgraph,https://github.com/rite-of-moloch/rom-subgraph,rite-of-moloch,0,2023-08-03 10:44:08+00:00
warunsinx/erc721-subgraph,https://github.com/warunsinx/erc721-subgraph,warunsinx,0,2023-07-26 14:25:19+00:00
SilviaMargaritaOcegueda/trial-bb-new-wallets,https://github.com/SilviaMargaritaOcegueda/trial-bb-new-wallets,silviamargaritaocegueda,0,2023-07-16 22:43:35+00:00
ekmanss/feeRouter_graph,https://github.com/ekmanss/feeRouter_graph,ekmanss,0,2023-07-13 08:13:10+00:00
quackswap/quackswap-ethereum-blocks,https://github.com/quackswap/quackswap-ethereum-blocks,quackswap,0,2023-07-13 05:06:50+00:00
endaoment/endaoment-subgraph,https://github.com/endaoment/endaoment-subgraph,endaoment,1,2023-07-12 22:35:27+00:00
Govrn-HQ/govrn-monorepo,https://github.com/Govrn-HQ/govrn-monorepo,govrn-hq,7,2023-07-12 19:57:54+00:00
Extropianism-io/the-graph-evm-nodes-module-nft,https://github.com/Extropianism-io/the-graph-evm-nodes-module-nft,extropianism-io,0,2023-07-03 10:11:05+00:00
